1745063998, [17.3, 19.0, 2.1, 2.1], 2.5
1745063999, [62.9, 76.5, 5.8, 8.8], 2.5
1745064000, [62.9, 74.7, 4.7, 6.3], 2.5
1745064001, [62.2, 76.8, 4.7, 6.2], 2.5
1745064002, [63.3, 75.0, 6.9, 7.4], 2.5
1745064003, [47.3, 55.6, 2.3, 2.4], 2.5
1745064004, [1.0, 0.0, 0.0, 2.0], 2.5
1745064005, [38.9, 40.2, 3.3, 7.9], 2.6
1745064006, [75.0, 72.6, 4.8, 9.0], 2.6
1745064007, [74.0, 73.4, 5.9, 8.9], 2.6
1745064008, [74.2, 73.4, 7.0, 12.5], 2.6
1745064009, [76.8, 72.3, 5.9, 7.7], 2.6
1745064010, [32.7, 33.7, 3.2, 4.4], 2.5
1745064011, [1.0, 0.0, 0.0, 2.0], 2.5
1745064012, [65.6, 68.7, 8.0, 4.8], 2.6
1745064013, [77.6, 82.8, 4.8, 6.2], 2.6
1745064014, [76.0, 83.2, 4.8, 7.5], 2.6
1745064015, [77.9, 80.2, 6.0, 6.1], 2.6
1745064016, [75.0, 84.0, 8.2, 5.1], 2.6
1745064017, [11.2, 12.4, 0.0, 3.1], 2.5
1745064018, [12.1, 14.0, 3.1, 2.0], 2.5
1745064019, [81.4, 88.8, 5.8, 5.1], 2.6
1745064020, [80.9, 91.9, 9.1, 8.6], 2.6
1745064021, [84.7, 83.8, 4.8, 4.9], 2.6
1745064022, [80.8, 82.2, 5.7, 6.2], 2.6
1745064023, [67.0, 70.7, 6.7, 4.8], 2.6
1745064024, [0.0, 1.0, 1.0, 0.0], 2.5
1745064025, [35.7, 39.0, 3.3, 3.3], 2.6
1745064026, [82.3, 91.0, 10.8, 7.9], 2.6
1745064027, [82.3, 89.1, 7.5, 4.0], 2.6
1745064028, [82.1, 85.9, 8.5, 9.1], 2.6
1745064029, [81.1, 90.0, 10.7, 11.3], 2.6
1745064030, [43.2, 49.5, 3.4, 4.5], 2.5
1745064031, [0.0, 0.0, 0.0, 1.0], 2.5
1745064032, [68.3, 62.9, 6.2, 4.6], 2.6
1745064033, [91.2, 82.5, 9.2, 1.2], 2.6
1745064034, [96.0, 82.3, 13.2, 8.0], 2.6
1745064035, [93.1, 85.4, 12.0, 6.0], 2.6
1745064036, [92.0, 91.8, 12.7, 6.0], 2.5
1745064037, [22.4, 22.0, 4.2, 1.1], 2.5
1745064038, [4.0, 4.0, 2.0, 2.0], 2.5
1745064039, [91.8, 95.0, 6.2, 3.6], 2.6
1745064040, [95.9, 99.0, 9.9, 4.8], 2.6
1745064041, [92.9, 97.0, 6.3, 5.9], 2.6
1745064042, [97.0, 93.0, 9.9, 5.8], 2.6
1745064043, [90.9, 88.9, 9.8, 4.7], 2.6
1745064044, [2.0, 1.0, 0.0, 0.0], 2.5
1745064045, [34.0, 33.3, 3.2, 3.3], 2.5
1745064046, [96.0, 96.0, 7.1, 12.3], 2.6
1745064047, [99.0, 97.0, 4.8, 11.1], 2.6
1745064048, [99.0, 96.0, 9.3, 9.0], 2.6
1745064049, [100.0, 95.0, 6.1, 13.3], 2.6
1745064050, [63.7, 61.2, 6.5, 8.0], 2.6
1745064051, [0.0, 1.0, 0.0, 0.0], 2.5
1745064052, [63.0, 63.4, 6.9, 4.5], 2.6
1745064053, [97.0, 99.0, 9.9, 7.1], 2.6
1745064054, [97.0, 99.0, 9.9, 4.9], 2.6
1745064055, [97.0, 100.0, 11.0, 7.2], 2.6
1745064056, [95.9, 100.0, 6.4, 7.2], 2.6
1745064057, [36.0, 36.0, 6.3, 2.1], 2.6
1745064058, [1.0, 0.0, 2.0, 0.0], 2.6
1745064059, [91.1, 89.9, 13.7, 7.6], 2.6
1745064060, [100.0, 99.0, 19.8, 3.9], 2.6
1745064061, [100.0, 98.0, 15.4, 9.9], 2.6
1745064062, [100.0, 100.0, 6.8, 12.3], 2.6
1745064063, [100.0, 100.0, 15.6, 9.8], 2.6
1745064064, [6.0, 5.1, 0.0, 1.0], 2.5
1745064065, [24.8, 25.7, 2.1, 5.3], 2.5
1745064066, [99.0, 100.0, 5.8, 13.9], 2.6
1745064067, [100.0, 100.0, 5.7, 20.8], 2.6
1745064068, [100.0, 100.0, 8.1, 17.1], 2.6
1745064069, [99.0, 100.0, 5.8, 12.5], 2.6
1745064070, [74.7, 74.7, 4.5, 15.7], 2.6
1745064071, [0.0, 0.0, 0.0, 0.0], 2.5
1745064072, [54.5, 55.4, 3.4, 2.3], 2.6
1745064073, [100.0, 100.0, 8.3, 13.3], 2.6
1745064074, [100.0, 99.0, 4.9, 12.3], 2.6
1745064075, [100.0, 100.0, 6.1, 10.0], 2.6
1745064076, [100.0, 100.0, 9.4, 15.9], 2.6
1745064077, [44.9, 45.0, 4.3, 3.3], 2.6
1745064078, [2.0, 0.0, 0.0, 1.0], 2.6
1745064079, [85.0, 85.1, 11.0, 6.7], 2.6
1745064080, [100.0, 100.0, 15.2, 4.5], 2.6
1745064081, [100.0, 100.0, 9.1, 4.7], 2.6
1745064082, [99.0, 100.0, 14.6, 8.0], 2.6
1745064083, [100.0, 100.0, 9.1, 3.4], 2.6
1745064084, [14.3, 15.8, 2.1, 3.1], 2.5
1745064085, [15.0, 15.0, 1.0, 3.1], 2.5
1745064086, [99.0, 100.0, 11.8, 9.6], 2.6
1745064087, [100.0, 100.0, 11.7, 13.1], 2.6
1745064088, [100.0, 100.0, 11.7, 12.2], 2.6
1745064089, [100.0, 100.0, 9.2, 8.3], 2.6
1745064090, [85.0, 85.0, 9.9, 9.4], 2.6
1745064091, [0.0, 1.0, 0.0, 1.0], 2.5
1745064092, [44.4, 45.0, 1.1, 4.3], 2.6
1745064093, [100.0, 100.0, 11.0, 8.2], 2.6
1745064094, [100.0, 100.0, 7.6, 6.0], 2.6
1745064095, [100.0, 100.0, 12.0, 7.1], 2.6
1745064096, [100.0, 100.0, 8.6, 8.2], 2.6
1745064097, [55.0, 54.5, 7.7, 4.3], 2.6
1745064098, [0.0, 1.0, 0.0, 0.0], 2.5
1745064099, [74.3, 74.7, 6.0, 11.1], 2.6
1745064100, [100.0, 100.0, 7.5, 13.2], 2.6
1745064101, [100.0, 100.0, 8.7, 12.0], 2.6
1745064102, [100.0, 100.0, 15.5, 22.5], 2.6
1745064103, [100.0, 100.0, 11.9, 13.2], 2.6
1745064104, [24.5, 25.0, 3.2, 2.2], 2.5
1745064105, [5.0, 4.0, 1.0, 2.0], 2.6
1745064106, [100.0, 100.0, 9.8, 8.5], 2.6
1745064107, [100.0, 100.0, 11.9, 6.2], 2.6
1745064108, [100.0, 100.0, 12.9, 10.7], 2.6
1745064109, [100.0, 100.0, 7.4, 8.5], 2.6
1745064110, [96.0, 96.0, 13.8, 7.3], 2.6
1745064111, [0.0, 1.0, 1.0, 0.0], 2.5
1745064112, [33.3, 32.3, 3.3, 4.2], 2.6
1745064113, [100.0, 100.0, 12.8, 7.0], 2.6
1745064114, [100.0, 100.0, 15.0, 7.0], 2.6
1745064115, [100.0, 100.0, 10.4, 4.8], 2.6
1745064116, [100.0, 100.0, 15.9, 4.8], 2.6
1745064117, [67.0, 67.0, 10.2, 2.2], 2.6
1745064118, [0.0, 0.0, 2.0, 1.0], 2.6
