1745063442, [100.0, 100.0, 17.9, 9.8], 2.6
1745063443, [100.0, 100.0, 12.0, 9.5], 2.6
1745063444, [100.0, 100.0, 13.0, 6.3], 2.6
1745063445, [92.0, 91.0, 19.0, 8.3], 2.6
1745063446, [0.0, 1.0, 1.0, 0.0], 2.6
1745063447, [38.0, 38.4, 3.4, 4.3], 2.6
1745063448, [100.0, 100.0, 18.7, 13.6], 2.6
1745063449, [100.0, 100.0, 14.6, 6.7], 2.6
1745063450, [100.0, 100.0, 13.9, 12.3], 2.6
1745063451, [100.0, 100.0, 14.8, 11.4], 2.6
1745063452, [62.0, 61.4, 9.0, 5.7], 2.6
1745063453, [0.0, 0.0, 0.0, 2.0], 2.6
1745063454, [69.0, 69.0, 8.0, 6.9], 2.6
1745063455, [100.0, 99.0, 7.5, 4.9], 2.6
1745063456, [100.0, 100.0, 13.1, 8.5], 2.6
1745063457, [100.0, 100.0, 8.7, 11.9], 2.6
1745063458, [100.0, 100.0, 11.9, 4.9], 2.6
1745063459, [31.7, 32.0, 2.1, 5.2], 2.6
1745063460, [1.0, 0.0, 0.0, 2.0], 2.6
1745063461, [98.0, 99.0, 5.8, 10.3], 2.6
1745063462, [100.0, 100.0, 7.9, 14.1], 2.6
1745063463, [100.0, 100.0, 3.5, 17.3], 2.6
1745063464, [100.0, 100.0, 3.6, 15.9], 2.6
1745063465, [100.0, 99.0, 5.7, 15.2], 2.6
1745063466, [2.0, 2.0, 0.0, 0.0], 2.5
1745063467, [28.3, 28.6, 4.2, 3.2], 2.6
1745063468, [100.0, 100.0, 9.9, 9.9], 2.6
1745063469, [100.0, 99.0, 7.5, 9.8], 2.6
1745063470, [100.0, 100.0, 6.3, 7.6], 2.6
1745063471, [100.0, 100.0, 9.6, 9.8], 2.6
1745063472, [71.0, 71.4, 8.0, 6.9], 2.6
1745063473, [0.0, 0.0, 1.0, 0.0], 2.5
1745063474, [59.6, 60.0, 9.3, 5.7], 2.6
1745063475, [100.0, 100.0, 15.8, 9.8], 2.6
1745063476, [100.0, 100.0, 19.0, 9.9], 2.6
1745063477, [100.0, 100.0, 21.2, 12.2], 2.6
1745063478, [100.0, 99.0, 17.9, 7.4], 2.6
1745063479, [41.0, 40.8, 7.5, 4.3], 2.6
1745063480, [2.0, 1.0, 1.0, 2.0], 2.5
1745063481, [88.8, 88.8, 12.7, 8.3], 2.6
1745063482, [100.0, 100.0, 15.4, 8.6], 2.6
1745063483, [100.0, 100.0, 19.8, 10.7], 2.6
1745063484, [100.0, 100.0, 20.5, 8.5], 2.6
1745063485, [99.0, 99.0, 18.7, 6.2], 2.6
1745063486, [12.1, 12.9, 4.1, 1.0], 2.5
1745063487, [19.0, 18.2, 4.2, 4.1], 2.5
1745063488, [100.0, 100.0, 19.0, 11.4], 2.6
1745063489, [100.0, 100.0, 19.0, 7.8], 2.6
1745063490, [100.0, 100.0, 18.8, 11.3], 2.6
1745063491, [100.0, 100.0, 11.8, 13.6], 2.6
1745063492, [81.8, 81.8, 17.6, 7.2], 2.6
1745063493, [0.0, 0.0, 1.0, 0.0], 2.5
1745063494, [48.5, 48.5, 4.7, 4.3], 2.6
1745063495, [100.0, 100.0, 16.7, 8.1], 2.6
1745063496, [100.0, 100.0, 13.2, 7.1], 2.6
1745063497, [100.0, 100.0, 11.1, 9.3], 2.6
1745063498, [100.0, 100.0, 16.0, 8.1], 2.6
1745063499, [51.5, 51.5, 4.5, 2.2], 2.5
1745063500, [0.0, 1.0, 0.0, 0.0], 2.5
1745063501, [79.0, 78.2, 6.9, 12.2], 2.6
1745063502, [100.0, 100.0, 10.6, 15.6], 2.6
1745063503, [100.0, 100.0, 7.1, 15.4], 2.6
1745063504, [100.0, 100.0, 9.5, 16.5], 2.6
1745063505, [100.0, 100.0, 6.0, 13.2], 2.6
1745063506, [21.0, 22.0, 4.1, 3.2], 2.5
1745063507, [8.2, 10.0, 2.0, 1.0], 2.6
1745063508, [99.0, 100.0, 7.1, 3.7], 2.6
1745063509, [100.0, 100.0, 9.4, 7.0], 2.6
1745063510, [100.0, 99.0, 8.2, 7.1], 2.6
1745063511, [100.0, 100.0, 1.2, 7.1], 2.6
1745063512, [90.9, 91.9, 8.1, 6.9], 2.6
1745063513, [3.0, 4.0, 4.0, 37.0], 2.6
