Random waveform, supplied seed
Total number of intervals = 112 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185)
Average QPS expected = 93505
Timestamp start: 1747332604044
Timestamp end: 1747333604288

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      239.6   184.1    59.1   143.9   152.6   209.5   256.8   287.5   309.0   332.5   359.7   398.2   490.8  1069.1  8958.5 110675.1   110667
read      220.9    89.7    63.8   105.3   138.0   218.4   240.7   253.2   263.3   274.0   290.3   316.8   398.3  1303.2  2353.3   8796.1     8803
read      283.4   249.2    63.8   140.5   150.7   254.3   311.3   339.8   358.3   377.8   401.9   441.2   876.8  3704.7  7552.5  45616.2    45662
read      277.3   237.7    63.8   141.9   155.7   261.9   305.5   328.1   343.5   361.5   383.4   420.5   690.3  2686.3 11431.1  30808.7    30867
read      285.2   262.2    59.1   141.0   152.1   255.4   313.2   342.3   361.0   381.4   405.3   447.6   879.9  3642.7  7525.5  45534.6    45656
read      260.6   245.6    63.8   146.0   155.1   221.7   275.3   308.2   331.5   357.6   389.0   436.1   605.2  2946.9 10612.6 100803.8   100938
read      240.6   185.8    59.1   149.0   157.4   212.1   250.7   277.6   298.0   322.3   351.7   392.5   524.0  1425.7  4576.3 132395.1   132360
read      247.6   189.5    63.8   142.6   152.1   227.2   282.9   307.7   324.1   342.3   364.4   395.7   464.4   739.4 10257.7  67689.0    67591
read      253.9   253.1    63.8   144.9   158.0   247.7   281.3   297.2   310.1   323.7   342.2   370.1   435.4   813.3 12724.2  34004.4    33910
read      239.7   130.7    63.8   142.2   151.0   213.0   269.5   298.7   317.6   337.9   361.3   394.0   463.8   706.9  4299.4  85703.3    85729
read      239.8   106.9    63.8   116.3   158.3   236.2   262.4   276.0   287.2   298.9   316.5   344.0   431.2  1280.1  4125.8  12964.6    12884
read      287.7   263.2    63.8   142.3   153.5   257.1   315.3   344.6   363.2   383.7   408.0   450.5   832.4  4063.9  7803.9  45582.4    45621
read      286.0   198.6    63.8   143.4   156.0   263.9   315.8   342.2   359.9   379.2   403.9   448.1   913.4  2924.0  3927.1  37013.3    36938
