Random waveform, supplied seed
Total number of intervals = 240 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582, 81972, 42852, 51852, 109368, 55794, 35534, 90576, 95085, 100029, 72551, 84629, 74136, 130756, 69916, 72019, 78070, 99548, 36393, 172591, 8325, 73684, 48420, 6828, 118747, 7123, 175577, 147498, 35814, 59488, 167483, 88988, 9869, 111786, 92736, 178657, 108877, 19091, 65772, 79060, 99953, 24354, 144236, 168093, 22028, 77499, 128271, 126673, 43605, 103217, 93706, 23247, 77378, 10495, 134841, 120602, 36975, 151323, 105217, 110653, 127593)
Average QPS expected = 87982
Timestamp start: 1747077108141
Timestamp end: 1747078308492

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      225.7   215.6    68.9   107.3   117.7   195.1   241.7   268.7   288.2   311.3   340.8   389.7   635.5  3246.2  8011.1 106629.6   106356
read      293.4   234.9    74.4   145.3   165.6   269.2   314.0   340.5   361.3   386.9   421.9   478.9   626.3  3640.9  7009.9 178630.6   178750
read      250.8   255.4    68.9   109.6   120.3   199.9   252.3   284.5   308.5   337.4   377.5   480.2  1203.5  2766.4  7559.6 105913.6   105831
read      284.1   307.0    68.9   111.5   123.5   209.0   263.3   297.8   326.0   364.8   436.7   734.4  1513.3  3439.3  7687.4 110922.4   110667
read      221.6   149.1    86.8   141.4   158.2   209.0   226.9   235.7   244.0   252.4   266.0   289.5   628.9  1979.1  7412.2   8888.6     8803
read      297.8   463.6    68.9   110.5   121.9   240.5   297.0   328.3   350.0   375.3   406.7   463.2  1844.5  7107.1  8898.5  45538.6    45662
read      282.1   364.7    74.4   115.3   128.3   240.2   285.6   309.4   325.7   344.6   370.7   420.3  1624.1  5776.7  8463.6  31043.8    30867
read      324.1   600.5    74.4   111.1   123.1   244.6   301.3   332.8   354.8   380.1   413.2   477.1  3017.0  8449.6 10468.2  45503.6    45656
read      283.5   370.1    68.9   110.6   122.2   211.6   270.0   307.2   336.1   373.5   432.4   584.3  1557.5  5527.5 11092.3 100924.6   100938
read      239.7   274.6    68.9   111.9   123.8   200.3   246.5   274.3   295.1   319.5   351.6   403.6   905.0  3348.8  9587.5 132267.8   132360
read      248.9   258.1    68.9   108.9   118.8   215.2   271.0   297.6   316.1   337.7   365.8   415.6   943.2  3744.5  7713.5  67538.0    67591
read      280.8   351.7    74.4   113.4   126.3   240.8   288.9   314.1   331.6   351.5   377.3   426.1  1393.4  5296.2  8027.8  33880.6    33910
read      294.3   419.9    68.9   109.5   120.2   217.2   281.4   320.5   350.5   387.5   439.4   554.9  1823.0  4859.6 11881.4  85543.4    85729
read      230.5   147.8    86.8   134.0   152.1   217.9   238.6   250.9   260.0   270.7   286.0   312.9   675.9  2133.4  7041.7  12859.8    12884
read      305.8   527.9    74.4   111.7   123.7   243.1   297.9   327.6   347.8   372.0   403.2   463.6  1807.3  8013.1 11709.3  45484.4    45621
read      258.1   219.6    74.4   113.6   126.4   239.7   285.5   309.0   325.2   344.2   370.7   414.8   655.4  3385.7  7614.1  37093.6    36938
read      277.1   369.1    74.4   108.1   118.7   236.3   297.9   333.3   358.3   386.6   421.7   475.1   849.7  6499.2 11411.8  56952.4    56902
read      246.6   220.1    63.8   109.9   120.4   200.1   254.5   288.5   313.6   343.8   387.9   485.1   972.9  2689.7  7354.9 102188.0   102243
read      225.3   120.6    86.8   130.0   147.5   216.9   238.0   250.9   260.4   271.3   287.1   313.3   462.1  1975.3  2936.7  14023.2    14085
read      254.6   289.3    74.4   109.3   119.5   202.0   259.5   293.4   318.4   348.1   390.7   482.1  1214.1  4143.4  9899.1  94115.6    94103
read      289.1   445.3    74.4   109.1   119.7   235.3   297.0   333.0   358.6   388.0   424.9   486.8  1298.7  7653.9 11619.5  58098.2    58175
read      344.6   375.7    68.9   134.7   154.4   268.5   321.5   354.9   381.0   416.2   471.2   822.7  1669.6  4037.1  8506.0 151184.8   151312
read      232.6   213.9    68.9   108.6   118.3   199.7   257.4   288.2   309.4   333.5   363.6   411.5   588.4  2607.6  9533.2  83284.2    83333
read      385.2   357.5    80.4   172.7   197.5   311.8   364.6   397.0   423.1   457.2   510.0   884.4  1691.9  3695.2  7771.0 165283.8   165153
read      223.5   193.3    74.4   111.6   123.0   196.1   238.6   266.1   286.1   309.6   339.2   384.8   521.3  2069.0  8224.1 124083.6   123975
read      242.7   181.1    80.4   122.0   135.6   237.2   267.9   283.9   294.8   309.0   326.4   356.4   441.0  2733.0  7421.4  28468.4    28449
read      234.4   162.4    80.4   127.0   144.0   221.9   248.0   262.7   272.8   286.2   302.8   332.3   611.1  2108.3  3934.5  14909.2    14903
read      284.2   344.8    80.4   115.6   129.5   240.1   286.7   310.9   327.8   347.1   374.8   434.3  1591.0  5023.3  7990.9  31216.6    31189
read      273.6   375.6    74.4   111.3   123.2   237.8   290.9   318.9   338.1   359.8   386.8   429.3   782.9  6669.0  9681.7  40617.2    40636
read      258.9   308.6    68.9   108.5   118.7   210.6   273.3   308.9   334.5   366.1   408.8   489.0   906.5  4094.4 11694.7  80597.0    80574
read      265.2   207.9    74.4   135.5   153.0   243.7   285.9   310.5   328.9   351.7   383.5   434.8   570.7  2405.6  8548.6 168908.4   168820
read      254.6   199.5    68.9   127.8   143.5   229.9   272.6   297.7   317.0   340.6   372.2   427.0   587.7  2687.6  4823.1 162659.2   162621
read      253.5   228.2    74.4   110.1   121.0   202.7   258.4   293.5   320.1   355.4   406.3   542.9  1043.9  2093.5  5228.7 101630.2   101621
read      285.9   427.7    68.9   108.5   119.0   235.7   298.4   334.4   360.0   389.6   426.8   488.4  1146.1  7557.6 13344.8  58713.8    58592
read      379.9   392.0    74.4   152.7   176.4   296.5   350.3   384.9   412.1   449.8   511.4  1214.0  1724.5  4251.6  8004.6 153121.0   153042
read      218.1   137.2    68.9   109.6   119.8   191.9   237.8   267.2   288.4   312.6   342.1   386.5   502.7  1497.1  3574.5 112404.6   112238
read      254.1   200.8    74.4   128.3   143.9   230.4   273.1   298.0   317.1   340.7   372.2   426.6   579.8  2556.9  7848.2 160271.4   160265
read      255.8   258.6    74.4   111.3   122.1   230.9   284.4   311.7   331.0   353.5   382.4   428.7   585.4  4622.6  7570.9  57124.4    57109
read      257.7   285.7    68.9   109.8   120.2   209.0   269.9   305.7   331.8   363.6   405.6   487.7   950.6  3712.1  9978.7  88333.2    88551
read      211.2   104.6    86.8   138.8   153.5   203.0   221.3   231.2   238.1   248.1   260.6   281.4   391.6  1907.8  3218.6   8452.6     8385
read      278.2   386.3    74.4   114.2   127.0   237.4   285.6   310.5   327.6   346.8   371.9   414.5  1226.7  6381.8  8647.7  34189.2    34088
read      296.3   368.5    68.9   112.4   124.7   213.9   266.3   297.1   320.7   351.6   400.8   871.2  1666.9  3420.2  8876.7 113891.0   113600
read      219.3   172.4    68.9   111.3   122.6   193.5   234.3   260.7   280.1   303.3   332.8   376.1   500.7  1892.7  4485.0 132011.6   131842
read      218.4   149.9    74.4   108.4   118.5   189.7   236.0   265.7   287.0   311.5   341.7   387.1   520.2  1805.2  4118.0 112295.2   112066
read      247.0   256.0    74.4   106.5   116.4   212.4   271.1   302.7   325.2   351.7   386.8   442.9   669.9  3197.9  9689.6  72574.2    72585
read      305.7   375.3    68.9   114.3   128.1   222.5   271.9   299.4   320.3   348.2   396.0  1138.1  1696.0  3642.4  8680.3 134078.4   133669
read      213.8    81.7    80.4   132.4   149.8   209.8   228.7   238.5   246.6   254.7   268.2   289.1   359.6  1295.8  2846.9  11897.6    11820
read      220.8   128.5    86.8   128.9   145.8   212.0   234.3   247.3   255.9   267.6   282.3   307.9   423.8  2076.0  4310.6  12661.6    12639
read      395.9   483.7    68.9   123.2   140.6   255.1   309.9   346.8   384.0   453.7   986.9  1470.4  1877.1  4667.0  8087.3 118307.2   118548
read      294.8   211.9    74.4   143.8   164.0   269.2   319.0   349.5   373.0   401.8   440.6   503.5   644.3  2337.2  8987.5 166000.4   165754
read      239.4   230.9    68.9   110.8   121.3   203.7   259.6   290.5   312.2   336.9   367.8   418.1   662.5  3368.2  8050.2  86783.4    86823
read      236.3   122.8    86.8   127.6   144.5   228.0   255.6   271.1   282.4   294.9   312.5   340.4   477.6  1956.8  3127.8  16872.2    16898
read      286.3   349.2    68.9   114.7   128.3   215.3   264.3   293.1   314.6   341.8   382.4   518.5  1669.5  3853.4  7897.7 122844.0   123124
read      229.7   147.3    68.9   106.7   116.8   208.1   262.9   290.3   309.3   331.4   360.6   406.8   533.6  1467.5  4373.8  72190.4    72278
read      277.3   381.7    68.9   110.0   121.9   236.7   293.3   324.3   345.7   370.3   399.4   446.1   906.3  6744.8  9937.6  47965.4    47757
read      289.9   401.7    74.4   110.3   121.8   238.0   302.8   340.4   367.9   398.5   436.0   499.0  1187.7  7327.8  9444.7  60410.8    60510
read      260.4   242.4    80.4   119.7   134.0   235.7   274.9   295.5   310.5   327.4   348.5   389.2  1016.7  3436.9  7757.8  25181.0    25237
read      307.2   404.5    68.9   113.6   126.5   220.8   280.1   318.0   349.2   394.6   484.6   768.1  1609.4  5124.6 12125.3  97747.4    97783
read      227.5   157.8    68.9   113.1   125.3   201.6   247.1   274.5   295.2   319.3   349.9   397.1   525.8  1752.1  3745.9 118861.4   118966
read      235.9   110.0    80.4   134.9   153.6   233.1   256.0   269.1   278.1   289.6   303.7   325.5   394.2  1333.5  4476.9  16643.0    16631
read      217.3   135.5    86.8   129.7   146.9   207.3   228.7   240.5   249.7   260.8   274.3   298.8   471.1  1890.1  7548.5  11756.4    11743
read      407.0   541.8    74.4   125.9   143.1   256.9   310.3   346.3   382.0   450.8  1134.2  1481.4  2055.6  7096.3 12053.7 114661.8   115026
read      232.6   189.5    74.4   114.7   127.6   204.4   249.0   276.3   296.8   320.8   351.5   399.2   564.7  2234.5  5349.2 122248.2   122371
read      219.3   123.6    93.8   147.1   162.4   211.2   228.4   237.3   245.6   253.9   266.7   287.1   369.5  2001.8  3977.6   7246.4     7198
read      262.8   243.6    74.4   120.5   135.1   239.5   278.4   298.7   313.5   330.6   352.0   390.6  1057.1  3479.0  7744.4  24955.0    25022
read      310.7   305.0    74.4   134.2   153.1   261.3   312.3   342.4   366.1   395.5   436.4   524.8  1560.8  3402.6  7966.4 157293.0   157513
read      278.3   171.2    74.4   139.0   157.6   254.6   300.7   328.2   348.9   375.2   412.4   471.9   631.8  2189.7  4253.6 171828.8   171975
read      261.4   199.0    68.9   130.3   147.0   235.8   280.6   306.9   326.3   350.3   383.2   437.4   607.7  2748.9  7190.9 155015.0   154918
read      233.7   178.9    68.9   118.2   131.9   208.8   249.7   274.5   293.5   316.0   344.9   392.7   549.9  2095.9  4451.2 139245.2   139185
read      238.6   194.1    74.4   120.8   135.3   214.5   254.9   279.5   297.4   319.4   348.6   397.4   546.3  2519.5  7493.4 153068.2   152724
read      234.7   124.1    80.4   129.0   144.8   233.4   258.1   271.0   280.5   291.9   306.8   329.7   396.2  1379.3  4030.0  20828.4    20845
read      299.4   342.4    68.9   119.7   134.9   230.5   280.4   310.4   334.0   365.2   413.3   570.8  1636.7  3575.2  7902.6 140168.4   140348
read      237.0   197.5    68.9   109.4   119.5   201.4   257.9   290.1   312.7   338.6   371.2   427.2   684.6  2335.8  7893.0  88695.6    88725
read      297.0   372.9    68.9   112.8   126.4   219.0   270.3   298.4   319.5   347.0   392.9   798.6  1639.8  3623.4  9460.7 133864.4   134088
read      238.3   213.4    74.4   109.4   119.6   215.4   270.2   297.3   315.7   337.0   364.2   405.0   533.1  2878.4  9346.1  66288.8    66126
read      272.9   382.2    68.9   106.8   117.3   220.7   289.3   330.3   359.9   392.7   432.0   495.1  1031.0  5323.3 14951.2  78119.0    78214
read      263.3   324.7    74.4   107.2   117.7   228.9   285.5   317.3   340.2   365.8   395.4   438.1   632.4  6470.5  8469.0  55284.2    55191
