Random waveform, random seed
Total number of intervals = 130 (33653, 143834, 57742, 54606, 18963, 12765, 141945, 152668, 133604, 160144, 125608, 171001, 63716, 8437, 20993, 6457, 168118, 80787, 87695, 153051, 83958, 5752, 52865, 150508, 47425, 72904, 61371, 142633, 165753, 57039, 141291, 11518, 11531, 43631, 13695, 27830, 112961, 66404, 34652, 142528, 165951, 62615, 47354, 108454, 99638, 146887, 85431, 73851, 67942, 155159, 162638, 36731, 74311, 83795, 66616, 94296, 147212, 128926, 111506, 113454, 128555, 174538, 179750, 111985, 105961, 21464, 40560, 30369, 82404, 131029, 101205, 59740, 35310, 166544, 66578, 150440, 139207, 160853, 131515, 41514, 140376, 48337, 7849, 126041, 94573, 72193, 13272, 93341, 15249, 66611, 172854, 60335, 48429, 152398, 136107, 49974, 44905, 71813, 109358, 58771, 9950, 85594, 15183, 176153, 24634, 118965, 177662, 20753, 170066, 96357, 131214, 56239, 166407, 35849, 123079, 10220, 67288, 5825, 51365, 140408, 61356, 65886, 66660, 136237, 122950, 125690, 146081, 20920, 173472, 126801)
Average QPS expected = 89587
Timestamp start: 1746541907832
Timestamp end: 1746543208089

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      238.0   245.6    50.7   103.9   114.3   185.9   232.0   261.4   282.7   308.1   341.4   420.7  1437.8  2642.3  6919.7 131015.2   131029
read      220.8   124.2    46.9   100.1   110.2   193.7   253.3   288.0   311.6   337.4   368.1   411.3   503.5   712.9  3012.9 101403.7   101205
read      216.1    98.4    54.7    97.2   106.9   204.7   257.7   283.5   300.3   318.1   340.0   370.9   436.2   605.9  1709.0  59742.6    59740
read      217.0   111.6    46.9   100.1   110.9   211.7   250.8   269.7   282.7   296.7   315.8   344.5   437.3  1168.3  3206.0  35189.2    35310
read      261.3   268.8    54.7   116.6   130.7   211.8   251.5   275.1   294.2   317.9   353.4   437.1  1485.8  3035.1  7031.5 166539.9   166544
read      211.5   138.0    54.7    98.2   107.8   197.8   248.6   273.5   290.2   308.4   330.3   363.5   435.0   642.6  4816.9  66572.7    66578
read      259.1   289.3    54.7   111.1   123.6   201.3   240.5   265.6   285.4   311.2   348.9   462.5  1524.1  3234.9  7168.4 150584.9   150440
read      201.7   127.3    59.1   104.3   114.2   177.9   217.0   243.4   264.4   288.6   317.4   359.5   466.4  1097.2  2702.0 139168.9   139207
read      208.5   127.3    50.7   111.1   122.6   188.1   224.3   247.6   265.6   287.1   314.5   357.0   465.0  1149.9  2902.2 160711.9   160853
read      198.7   138.5    54.7   101.9   111.4   174.6   215.9   243.7   265.2   289.2   316.5   354.6   439.8   969.3  2635.0 131556.9   131515
read      206.4   273.8    54.7   101.7   111.9   202.7   232.9   248.9   260.3   272.7   289.9   315.6   385.6   702.6 11653.7  41510.9    41514
read      205.4   118.7    54.7   105.7   116.3   183.8   224.6   251.2   271.3   294.7   322.1   363.1   458.8   755.6  2748.5 140420.3   140376
read      205.5   140.4    54.7   102.1   112.6   205.1   239.3   255.7   266.8   279.1   294.9   319.0   375.6   533.4  2759.8  48273.6    48337
read      171.9    63.8    54.7   105.9   118.5   169.1   185.0   194.4   200.8   209.7   220.1   239.2   292.0   464.4  2627.7   7888.4     7849
read      196.7   115.5    54.7   101.5   110.9   174.3   216.7   245.1   266.4   289.5   315.0   347.9   414.3   562.5  2899.1 125913.8   126041
read      198.7    98.6    50.7    98.0   107.1   178.5   229.9   258.7   276.4   294.8   315.9   345.2   405.8   546.8  1647.7  94377.0    94573
read      202.3    85.1    54.7    98.4   108.0   190.0   239.6   262.7   276.9   292.7   311.9   339.6   397.2   533.8  1626.9  71989.2    72193
read      181.6   192.5    59.1   105.9   118.7   176.0   193.5   202.6   210.5   218.5   231.2   251.8   307.1   683.7 11209.5  13308.5    13272
read      198.4    95.5    50.7    98.2   107.3   178.9   229.9   258.1   275.2   293.3   314.4   343.7   404.6   532.4  2412.4  93138.7    93341
read      185.5   205.5    59.1   106.9   120.1   181.2   199.3   209.9   217.1   227.3   240.2   264.8   326.6   550.4  5475.0  15313.7    15249
read      203.1   104.6    50.7    98.8   108.6   193.3   240.2   261.6   274.7   290.1   308.5   335.6   396.1   567.5  3065.1  66563.7    66611
read      215.3   136.4    54.7   115.6   128.7   198.1   234.3   257.3   274.1   294.9   320.9   362.3   453.1   704.2  4153.5 172935.7   172854
read      206.0    87.1    54.7   100.0   110.0   200.1   243.6   263.5   275.8   290.9   309.2   336.4   401.8   609.5  2279.6  60404.7    60335
read      205.0    84.2    54.7   101.6   111.9   204.9   239.5   256.3   268.0   281.1   297.0   321.2   383.0   551.9  1517.7  48451.5    48429
read      201.2   122.0    54.7   107.3   117.9   181.8   219.2   244.0   263.4   285.8   312.8   349.0   423.5   586.5  2145.7 152312.2   152398
read      198.0   102.7    54.7   103.5   113.4   177.0   217.2   244.0   264.8   287.9   314.3   348.6   419.5   570.9  2882.0 135977.0   136107
read      203.3    83.6    54.7   100.9   111.0   203.0   237.8   254.8   266.5   279.2   295.3   319.3   373.5   521.4  2511.0  49904.6    49974
read      203.6    80.6    54.7   102.1   112.4   204.6   236.8   253.3   264.7   276.6   293.0   317.2   370.2   483.2  1548.2  44865.8    44905
read      203.2   126.2    54.7    98.4   107.9   191.0   240.5   263.2   277.2   292.4   310.8   337.7   396.5   539.4  3538.6  71801.2    71813
read      198.0   133.6    50.7    99.6   108.9   175.6   222.9   252.5   272.8   294.0   317.1   348.9   414.2   554.0  2586.0 109341.8   109358
read      204.2    81.1    54.7    99.9   109.9   200.0   242.0   261.4   273.5   288.0   305.2   331.0   387.1   511.4  1560.5  58767.8    58771
read      176.2    56.6    59.1   109.7   122.5   173.8   189.6   198.8   205.7   214.3   226.2   246.1   294.5   477.4  2046.7   9939.3     9950
read      200.6    90.5    54.7    98.5   107.8   183.1   235.3   261.7   277.6   294.5   314.5   342.5   400.6   529.1  2263.4  85574.7    85594
read      180.5    50.4    54.7   106.9   120.1   179.8   197.0   206.5   213.7   222.1   233.6   254.2   311.2   447.2   836.2  15153.7    15183
read      217.2   119.3    54.7   117.6   130.8   200.7   236.6   259.6   276.1   296.6   322.8   364.0   453.9   657.0  3861.2 176164.6   176153
read      192.2    64.8    63.8   105.4   117.0   193.1   214.0   225.1   232.6   242.8   255.4   277.9   336.4   558.4  2017.8  24520.9    24634
read      196.1    99.7    54.7   100.3   109.7   174.4   219.0   247.9   268.3   290.1   314.1   345.5   409.5   539.3  2104.9 118985.2   118965
read      219.3   124.5    54.7   118.7   132.1   203.1   239.5   262.4   279.0   299.1   325.3   365.9   455.3   668.6  3319.2 177544.3   177662
read      189.2   111.8    59.1   106.6   118.7   188.6   207.8   217.7   225.9   234.5   248.5   270.0   318.3   468.7  4623.2  20715.7    20753
read      209.3   120.7    54.7   113.2   125.6   192.3   228.2   250.6   268.0   288.8   314.9   353.7   434.1   634.6  3015.3 169963.9   170066
read      198.5    91.0    50.7    98.4   107.7   178.6   229.3   257.8   275.4   293.7   314.7   343.7   405.1   553.2  1791.8  96411.2    96357
read      197.5   110.4    54.7   102.2   111.9   175.9   217.5   245.3   266.4   289.2   314.6   348.1   417.5   588.0  3107.0 131212.3   131214
read      202.1    83.5    54.7    99.7   109.7   200.1   238.8   256.8   268.6   281.8   297.0   320.7   373.4   491.5  2127.6  56294.0    56239
read      209.9   115.9    54.7   113.1   125.4   192.4   228.8   251.8   269.6   290.7   317.1   357.2   437.9   639.9  3096.3 166539.2   166407
read      198.3    80.0    54.7   103.2   113.9   201.2   226.5   239.1   248.8   259.9   273.6   296.4   350.8   525.7  2011.4  35841.8    35849
read      197.3   107.3    54.7   100.5   110.0   174.5   218.7   247.9   268.8   291.3   316.2   349.7   423.0   646.8  2941.9 122984.7   123079
read      175.0    73.3    54.7   106.6   119.5   172.5   188.6   198.1   204.8   213.9   225.8   245.5   295.5   459.1  3051.5  10264.0    10220
read      202.4    83.4    54.7    98.7   108.4   194.1   240.8   261.3   274.1   288.9   306.7   333.1   392.6   516.3  1431.7  67180.3    67288
read      165.9    61.6    54.7   104.1   115.8   162.7   177.9   186.2   193.2   200.7   212.3   231.1   290.8   471.0  2016.0   5826.7     5825
read      205.0    84.0    50.7   100.5   110.6   204.0   240.8   258.4   270.3   284.3   301.1   327.3   387.0   522.5  2240.9  51365.2    51365
read      199.8   101.7    54.7   104.4   114.6   179.4   219.1   245.4   265.7   288.8   315.8   352.2   424.3   584.7  2336.0 140354.9   140408
read      207.5   140.2    54.7    99.6   109.6   200.2   244.2   264.0   276.5   291.5   309.5   336.1   398.3   645.3  6809.6  61325.9    61356
read      205.1    94.9    54.7    99.1   108.9   196.2   243.3   265.1   278.9   294.0   312.9   340.1   398.7   543.6  2619.0  65926.0    65886
read      205.5    93.3    54.7    99.1   108.9   195.8   243.8   265.7   279.6   294.5   313.3   340.6   399.8   538.7  2539.5  66625.2    66660
read      197.5   138.9    54.7   103.0   112.7   175.8   216.3   243.2   264.3   287.7   314.3   349.6   417.7   540.9  2062.4 136018.0   136237
read      197.0   131.4    54.7   100.8   110.2   174.2   217.9   246.7   268.0   290.8   316.2   350.3   418.2   549.1  2638.6 122880.3   122950
read      197.1   118.0    50.7   101.5   110.9   174.6   217.6   246.3   267.8   291.0   316.5   350.1   416.7   542.6  2874.4 125877.2   125690
read      200.1   136.6    54.7   105.4   115.6   178.9   217.4   243.3   263.6   286.8   314.1   351.3   426.2   634.2  4225.9 145952.0   146081
read      192.7    62.8    59.1   107.2   119.7   193.0   213.7   225.0   232.8   243.4   256.8   278.3   323.2   459.0  2175.4  20946.6    20920
read      215.5   128.1    54.7   116.4   129.5   199.2   235.4   258.5   275.1   295.6   321.3   361.3   441.4   613.0  3385.6 173419.8   173472
read      196.9   100.0    54.7   101.8   111.3   174.8   217.4   246.0   267.3   290.1   315.7   349.5   416.8   555.1  2112.2 126838.5   126801

Total QPS = 89578.7 (116452376 / 1300.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 28763737366 bytes :   21.1 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.88%,19.40%,100.00%
