Total number of intervals = 130 (141540, 9994, 115116, 51626, 160061, 132580, 96338, 169563, 51150, 39660, 130077, 20426, 96677, 91563, 70624, 75995, 41637, 105593, 129375, 124130, 174732, 116883, 179960, 141024, 73565, 159283, 170444, 151785, 164978, 168837, 93450, 107612, 117688, 58128, 64186, 32057, 94960, 112527, 122530, 63866, 78595, 168697, 17288, 38254, 131480, 159952, 39643, 25252, 179526, 16777, 15873, 57328, 94461, 121368, 138195, 127487, 71368, 146915, 46754, 173491, 84290, 145970, 79235, 79929, 12949, 77238, 109857, 39727, 24915, 108768, 112567, 95880, 165452, 82546, 73776, 20922, 38179, 92960, 99589, 20128, 155087, 12198, 63692, 129265, 32750, 26375, 148415, 55494, 74597, 168225, 144018, 172241, 86416, 177359, 171536, 124599, 15102, 40786, 155820, 82522, 11358, 126679, 149586, 126137, 133715, 98483, 158457, 119684, 173047, 154564, 141504, 93030, 39372, 5657, 28987, 122231, 115976, 161315, 24477, 107204, 76743, 15116, 108074, 9912, 141516, 128084, 136666, 166915, 168077, 106988)
Average QPS expected = 98629
Timestamp start: 1746535280606
Timestamp end: 1746536580918

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      198.8   157.6    50.7    96.9   106.1   185.9   234.8   256.1   269.3   283.9   301.0   327.0   385.0   518.2  5691.7  74561.6    37086
read      226.9   186.9    50.7   115.1   128.7   205.7   248.2   273.9   293.5   316.5   346.2   394.8   500.4   698.9  8115.5 168431.8    93344
read      202.2   153.3    54.7   106.0   116.6   182.6   222.4   247.4   266.1   287.6   313.3   348.9   422.7   568.7  3367.6 144190.5    63439
read      248.3   140.8    59.1   119.8   134.9   225.1   276.1   307.0   329.5   356.9   392.5   448.5   564.3   729.1  3067.6 172304.2    71080
read      197.3   101.7    54.7    97.3   106.3   181.0   231.8   256.4   271.1   287.2   306.0   333.5   392.1   524.9  2345.2  86387.4    35940
read      276.9   158.0    59.1   123.7   140.1   245.4   310.5   350.3   380.2   415.4   459.8   525.3   647.2   828.7  3922.4 177364.4    85928
read      249.0   136.3    54.7   120.3   135.4   224.7   275.3   306.4   329.5   358.0   395.5   455.0   575.5   744.3  2669.8 171350.7    27862
read      195.5    98.8    54.7   101.4   110.8   175.1   217.9   245.3   264.7   285.5   309.3   341.7   404.4   525.6  2268.9 124574.3   127899
read      176.2    73.9    50.7   106.8   119.7   174.0   191.0   200.2   207.6   215.8   227.6   246.7   302.8   505.4  2562.6  15033.9   174219
read      194.4    76.3    54.7   100.0   110.3   196.8   226.0   239.1   248.4   258.8   271.7   292.3   340.2   489.0  2028.8  40907.9    80809
read      206.7   111.5    54.7   109.7   120.7   188.0   227.3   251.6   269.7   290.9   316.9   355.5   433.2   600.6  3099.1 155897.6   108736
read      197.1    83.1    54.7    97.2   106.2   181.5   232.6   257.0   271.4   287.4   306.3   334.0   391.7   515.5  1626.4  82596.4   112913
read      180.2   101.7    54.7   110.2   123.5   170.4   186.4   196.2   202.5   212.6   226.3   259.3   487.1   725.7  3117.4  11438.0   133350
read      195.6   101.3    54.7   101.7   111.2   175.6   217.8   245.0   264.4   285.1   308.9   341.4   404.3   532.6  2139.8 126564.8    84257
read      201.3   106.3    54.7   107.0   117.7   182.9   221.4   245.8   264.2   285.3   310.9   345.8   419.4   565.1  2707.3 149494.3   129783
read      195.4   101.6    54.7   101.8   111.3   175.1   217.1   244.4   264.0   285.0   309.1   341.6   403.5   521.6  1896.1 126128.8   152995
read      194.9    93.6    54.7   102.4   112.1   174.9   215.4   241.5   261.2   282.4   307.1   340.7   404.9   538.0  2024.9 133822.5    14162
read      195.5    96.1    59.1    98.1   107.1   176.4   225.1   252.7   269.8   287.6   308.0   337.0   396.0   508.6  2665.1  98609.5   171183
read      209.4   106.7    50.7   110.5   122.1   191.6   231.1   255.5   273.5   294.6   320.1   359.2   435.6   586.6  2327.0 158098.5   150625
read      195.8    95.8    59.1   100.8   110.2   175.5   219.6   247.4   266.7   287.1   310.3   341.7   402.4   510.6  2505.6 119698.4    93237
read      261.6   149.7    54.7   120.7   136.4   234.0   293.0   327.8   353.7   385.1   425.2   486.8   604.3   767.6  3252.7 172934.2    19503
read      211.6   109.8    54.7   111.1   122.7   193.1   233.4   258.8   276.9   298.1   324.4   364.0   445.2   612.1  2578.1 154443.3   156782
read      203.2   106.6    54.7   106.5   117.1   183.4   223.7   249.2   268.2   289.8   315.7   352.3   429.3   670.8  2909.5 141380.1   139707
read      200.1    94.0    54.7    99.3   108.7   180.8   231.9   259.0   275.5   293.3   314.2   344.0   414.0   583.1  2318.9  93078.1   168303
read      201.7    84.1    50.7   101.6   112.4   204.4   232.8   246.8   256.1   267.7   281.9   304.8   371.3   607.2  2111.0  39444.4    53197
read      173.0   182.3    50.7   102.7   117.1   166.8   182.6   191.9   198.7   207.6   219.3   243.2   324.3   645.3 10003.8   5656.2   139827
read      197.5   105.0    50.7   103.8   115.7   198.3   221.9   233.0   241.7   251.6   265.3   286.7   359.1   684.4  3780.6  28895.1    85183
read      200.2   102.3    59.1   103.1   112.9   179.4   223.3   250.8   270.2   291.4   315.6   349.1   423.4   596.3  2172.2 122197.5   116720
read      195.7   104.1    54.7   100.6   110.0   174.9   219.6   247.3   266.5   286.8   309.8   341.1   403.6   553.0  2088.4 115833.1    69303
read      214.7   111.8    54.7   112.6   125.0   196.4   236.1   261.6   279.8   301.4   328.4   368.8   458.5   626.1  2573.9 161290.2    95057
read      190.3    74.7    50.7   103.8   115.7   192.1   213.3   224.1   231.5   240.4   252.3   271.2   315.3   504.6  2886.7  24523.4   158530
read      197.9   103.1    59.1   100.7   110.0   177.5   224.8   252.7   271.1   290.4   312.5   343.1   407.5   553.6  1837.5 107202.6   126556
read      202.4   121.8    63.8    99.1   108.6   187.8   238.9   261.8   275.8   291.2   309.8   337.2   399.0   566.1  2974.9  76693.6   178785
read      179.0   103.2    59.1   107.2   120.2   177.7   195.0   204.1   211.3   218.5   229.7   246.9   289.8   459.5  4042.2  15097.6   171179
read      197.1    99.8    54.7    99.7   109.1   176.2   223.4   251.2   269.8   289.5   312.1   343.6   411.5   617.3  2580.1 107982.6    86929
read      170.1    74.7    54.7   104.1   118.1   168.8   184.0   192.8   199.0   207.0   216.9   233.9   283.3   514.8  1621.6   9927.5    64389
read      199.8   106.2    59.1   105.6   115.9   180.5   220.0   245.2   264.2   285.6   311.0   345.4   416.4   569.7  2776.9 141370.0   120042
read      200.4   200.7    54.7   103.1   112.9   178.9   221.5   248.5   268.0   289.2   313.7   347.0   417.8   565.3  5730.7 127934.7    65012
read      200.1   133.2    50.7   104.4   114.6   180.0   220.5   246.4   265.7   287.2   312.4   346.5   422.2   604.1  2915.2 136588.0    80139
read      232.0   118.7    54.7   117.2   131.1   212.2   257.1   284.0   303.7   326.9   357.9   404.6   514.1   685.9  3246.1 166757.3    46332
read      239.5   175.7    59.1   118.1   132.1   216.7   264.3   292.6   313.5   338.6   371.7   426.8   551.5   858.3  2975.4 168187.6    86470
read      197.0   101.2    54.7    99.6   109.0   177.0   224.1   251.6   269.8   289.2   311.4   342.2   403.9   556.4  2316.5 106749.0    34184

Total QPS = 98602.1 (128182784 / 1300.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 31661146907 bytes :   23.2 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.96%,49.75%,100.00%
